ind;freq;popup;lat;lng
138;306;алжир;28.0000272;2.9999825
139;300;шотландский;55.05492845;82.8786328813286
140;299;стокгольм;59.3251172;18.0710935
141;295;сидней;-33.8548157;151.2164539
142;283;тверь;56.858675;35.9208284
143;280;мадрид;40.4167047;-3.7035825
144;278;вавилон;65.9892745;49.7218612
145;272;кан;49.1828008;-0.3690815
146;267;вологда;59.218876;39.893276
147;265;тегеран;35.7006177;51.401375
148;264;белград;44.8178131;20.4568974
149;263;стамбул;41.0096334;28.9651646
150;260;олимп;34.9366134;32.8649502
151;252;альпы;45.9531685;9.23790745975765
152;250;фонтанка;59.9216965;30.3177715
153;250;енисей;61.1828989;89.5776147
154;246;шотландия;56.7861112;-4.1140518
155;245;франкфурт;50.110653;8.682093
156;244;рейн;50.2369737;7.5801837
157;240;кострома;57.7679158;40.9269141
158;234;тамбов;52.72879;41.45536
159;221;флоренция;43.7698712;11.2555757
160;220;якутск;62.027287;129.732086
161;215;персия;59.9220663;30.304779
162;215;гамбург;53.550341;10.000654
163;214;пресня;55.7528966;37.5723397
164;214;люксембург;49.8158683;6.1296751
165;210;посад;50.866699;33.21064
166;204;бавария;48.9467562;11.4038717
167;203;закавказье;43.27175425;40.271023800975
168;200;меркурий;56.5150883;66.5219634035629
169;199;ницца;43.7009358;7.2683912
170;194;владикавказ;43.024593;44.68211
171;192;копенгаген;55.6867243;12.5700724
172;191;обь;48.3201921;4.19053966150475
173;187;чита;52.033409;113.500893
174;185;цюрих;47.3723957;8.5423216
175;183;мекка;21.1026608;41.3105755
176;182;таганрог;47.2136896;38.903365
177;180;львов;49.841952;24.0315921
178;175;оренбург;51.767452;55.097118
179;171;дунай;45.2587805;19.8915929
180;168;печора;65.7109698;54.8179912
181;168;останкино;55.8210768;37.619119
182;167;ангара;56.8326594;101.3492621
183;166;сокольники;46.8056769;141.9993007
184;166;македония;41.6171214;21.7168387
185;163;неаполь;40.8359336;14.2487826
186;163;каир;30.048819;31.243666
187;161;выборг;60.709217;28.744051
188;159;ставрополь;45.0433245;41.9690934
189;159;брянск;53.2423778;34.3668288
190;158;мальта;35.8885993;14.4476911
191;153;полтава;49.5897423;34.5507948
192;153;кронштадт;59.990845;29.774652
193;152;шуя;56.844101;41.379601
194;152;кишинев;47.0122737;28.8605936
195;151;феодосия;45.05008335;35.3664387426081
196;146;скандинавия;51.6738241;39.1326632840394
197;145;петергоф;59.881847;29.912041
198;145;пенза;53.200001;45.0
199;145;лувр;48.86114765;2.33802698859948
200;144;белгород;50.595299;36.586933
201;143;кельн;50.938361;6.959974
202;141;севастопольский;54.6487476;19.9380976
203;139;пра;48.687354;8.04131
204;133;терек;42.7761407;44.6325682
205;133;версаль;48.8035403;2.1266886
206;132;дрезден;51.0493286;13.7381437
207;131;черногория;42.7728491;19.2408586
208;130;чад;15.6134137;19.0156172
209;130;болонья;44.4936714;11.3430347
210;129;сицилия;37.587794;14.155048
211;129;разумовский;55.02793525;73.2764683156134
212;127;коломна;55.0938743;38.7670121
213;126;александрия;31.199004;29.894378
214;125;нарва;59.3766915;28.1921057
215;125;волхов;58.6270729;31.4209245
216;120;гессен;50.6118537;9.1909725
217;117;подольск;55.4308841;37.5453056
218;116;углич;57.526783;38.316689
219;116;остоженка;55.7360295;37.5948212
220;115;нептун;48.5647819;142.6914661
221;115;лейпциг;51.3391827;12.3810549
222;114;курская;55.9812708;66.6210984
223;114;брест;48.3905283;-4.4860088
224;112;яуза;55.8907137;37.6843924547656
225;111;елец;52.613815;38.488453
226;110;ржев;56.259262;34.330151
227;109;буэнос-айрес;-34.6075616;-58.437076
228;108;павловск;59.684853;30.433264
229;108;лион;45.7578137;4.8320114
230;108;гаага;52.0799838;4.3113461
231;107;майн;49.9354788;9.8058264
232;107;анапа;44.894272;37.316887
233;105;албания;41.000028;19.9999619
234;104;покровка;47.9347466;38.2779013663039
235;104;бородино;46.30188;29.24046
236;103;ява;49.7857053;143.0630703
237;103;тобольск;58.201286;68.250595
238;103;лозанна;46.5218269;6.6327025
239;103;генуя;44.40726;8.9338624
240;103;бессарабия;46.1927234;30.3472328
241;102;туркестан;43.298692;68.26296
242;102;мож;49.702361;36.2946662
